"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"TOP (mm)";"GND1 (mm)";"S1 (mm)";"PW1 (mm)";"S2 (mm)";"GND2 (mm)";"PW2 (mm)";"BOT (mm)";
001;"GND";746;742;671.6148;405.3829;0.0000;1076.9977;227.4741;0.0000;0.0000;0.0000;0.0000;0.0000;47.0546;130.8542;
002;"GBE0_MDI3_N";2;1;1.0397;15.6575;0.0000;16.6972;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.6599;
003;"GBE0_MDI3_P";2;1;1.0397;15.6806;0.0000;16.7203;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.6830;
004;"/IO/LED0";2;1;1.0397;18.1039;0.0000;19.1436;0.7625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;17.3414;
005;"/IO/LED1";2;1;1.0397;19.5072;0.0000;20.5469;1.0625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;18.4447;
006;"GBE0_MDI2_N";2;1;1.0397;15.5194;0.0000;16.5591;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.5218;
007;"GBE0_MDI2_P";2;1;1.0397;15.7348;0.0000;16.7745;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.7372;
008;"/MPU/VDDA_0P9";3;1;1.0397;1.8417;0.0000;2.8814;1.1076;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7341;
009;"GBE0_MDI1_N";2;1;1.0397;15.3573;0.0000;16.3970;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.3596;
010;"GBE0_MDI1_P";2;1;1.0397;15.3572;0.0000;16.3969;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.3596;
011;"GBE0_MDI0_N";2;1;1.0397;15.7267;0.0000;16.7664;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.7291;
012;"GBE0_MDI0_P";2;1;1.0397;15.7268;0.0000;16.7665;0.9976;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;14.7292;
013;"Net-(U1B-VIN3)";2;0;0.0000;2.2235;0.0000;2.2235;2.2235;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
014;"3.3V_SW";52;125;109.2128;95.9338;0.0000;205.1466;25.6012;0.0000;0.0000;17.5725;16.3986;0.0000;0.0000;36.3616;
015;"Net-(D2-K)";2;0;0.0000;3.0449;0.0000;3.0449;3.0449;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
016;"Net-(C17-Pad2)";2;0;0.0000;8.0182;0.0000;8.0182;8.0182;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
017;"VBAT";3;2;1.0397;57.8640;0.0000;58.9037;2.0271;0.0000;53.4369;0.0000;0.0000;0.0000;0.0000;2.4001;
018;"Net-(U1B-VHALF)";3;0;0.0000;2.6822;0.0000;2.6822;2.6822;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
019;"I2C1_SCL";2;2;1.0397;28.7811;0.0000;29.8208;0.4596;0.0000;0.0000;0.0000;27.3445;0.0000;0.0000;0.9770;
020;"I2C1_SDA";2;2;1.0397;32.8411;0.0000;33.8808;0.4596;0.0000;0.0000;0.0000;31.3835;0.0000;0.0000;0.9980;
021;"I2C2_SCL";5;5;2.8412;119.7447;0.0000;122.5859;15.6283;0.0000;66.1630;0.0000;36.9555;0.0000;0.0000;0.9980;
022;"I2C2_SDA";5;6;2.8412;117.4259;0.0000;120.2671;14.3889;0.0000;24.9623;0.0000;76.8887;0.0000;0.0000;1.1860;
023;"I2C3_SCL";2;2;1.0397;31.7089;0.0000;32.7486;0.4596;0.0000;0.0000;0.0000;30.0633;0.0000;0.0000;1.1860;
024;"I2C3_SDA";2;2;1.0397;33.1720;0.0000;34.2117;0.4596;0.0000;0.0000;0.0000;31.7144;0.0000;0.0000;0.9980;
025;"Net-(U1C-VCOREDIG)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
026;"USB1_OC";2;2;1.0397;12.0985;0.0000;13.1382;0.4596;0.0000;0.0000;0.0000;10.2228;0.0000;0.0000;1.4160;
027;"USB1_PWR_EN";2;2;1.0397;14.1972;0.0000;15.2369;0.4596;0.0000;0.0000;0.0000;11.7527;0.0000;0.0000;1.9849;
028;"Net-(U1C-VCOREREF)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
029;"Net-(U1C-VCORE)";2;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
030;"UART2_TXD";2;2;1.0397;15.4204;0.0000;16.4601;0.4596;0.0000;0.0000;0.0000;14.0617;0.0000;0.0000;0.8990;
031;"UART2_RXD";2;1;1.0397;16.2930;0.0000;17.3327;12.9555;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.3375;
032;"UART1_TXD";3;1;1.0397;33.6514;0.0000;34.6911;13.8210;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.8304;
033;"UART1_RXD";3;2;1.0397;33.1800;0.0000;34.2197;0.4596;0.0000;0.0000;0.0000;14.6450;0.0000;0.0000;18.0753;
040;"/IO/ENET_2.5V_A";8;5;3.1191;11.2158;0.0000;14.3349;4.1967;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;7.0191;
042;"USB2_RX_N";2;1;1.0397;13.0818;0.0000;14.1215;8.9934;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.0883;
043;"USB2_RX_P";2;1;1.0397;13.0818;0.0000;14.1215;8.7863;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.2954;
044;"USB2_TX_N";2;1;1.0397;13.0718;0.0000;14.1115;8.7696;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.3022;
045;"USB2_TX_P";2;1;1.0397;13.0718;0.0000;14.1115;8.5625;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.5093;
046;"USB2_DP";2;1;1.0397;24.1588;0.0000;25.1985;19.6785;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4.4803;
047;"VDD_1V";8;5;5.1985;5.1612;0.0000;10.3597;1.7203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.4408;
048;"Net-(C56-Pad2)";5;0;0.0000;1.1668;0.0000;1.1668;1.1668;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
051;"UART3_RXD";2;1;1.0397;16.0925;0.0000;17.1322;12.7440;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.3485;
052;"UART3_TXD";2;1;1.0397;17.2305;0.0000;18.2702;13.5813;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3.6492;
053;"UART4_RXD";2;2;1.0397;34.6360;0.0000;35.6757;0.4596;0.0000;0.0000;0.0000;32.9903;0.0000;0.0000;1.1860;
054;"NVCC_DRAM_1V1";107;61;62.3820;64.8719;0.0000;127.2539;45.5135;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;19.3585;
055;"DRAM_DQ21";2;2;1.2010;24.6496;0.0000;25.8506;1.7593;0.0000;0.0000;0.0000;22.8903;0.0000;0.0000;0.0000;
056;"DRAM_DQ19";2;2;1.2010;24.6385;0.0000;25.8395;2.4884;0.0000;0.0000;0.0000;22.1501;0.0000;0.0000;0.0000;
057;"DRAM_DQ25";2;2;0.5274;25.6960;0.0000;26.2234;1.7609;0.0000;23.9351;0.0000;0.0000;0.0000;0.0000;0.0000;
058;"DRAM_DQ24";2;2;0.5274;25.7172;0.0000;26.2446;2.3047;0.0000;23.4126;0.0000;0.0000;0.0000;0.0000;0.0000;
059;"Net-(Q1-G)";3;0;0.0000;4.5522;0.0000;4.5522;4.5522;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
060;"DRAM_DQ26";2;2;0.5274;25.7348;0.0000;26.2622;0.9482;0.0000;24.7866;0.0000;0.0000;0.0000;0.0000;0.0000;
061;"DRAM_DQ28";2;2;0.5274;24.9674;0.0000;25.4948;0.9393;0.0000;24.0281;0.0000;0.0000;0.0000;0.0000;0.0000;
062;"DRAM_DQ27";2;2;0.5274;25.6711;0.0000;26.1985;0.9141;0.0000;24.7570;0.0000;0.0000;0.0000;0.0000;0.0000;
063;"DRAM_DQ30";2;2;0.5274;24.9865;0.0000;25.5139;2.2614;0.0000;22.7251;0.0000;0.0000;0.0000;0.0000;0.0000;
064;"Net-(U5-OUT)";7;0;0.0000;2.2642;0.0000;2.2642;2.2642;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
065;"Net-(D3-K)";3;0;0.0000;2.8141;0.0000;2.8141;2.8141;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
066;"DRAM_VREF";3;1;1.0397;2.7195;0.0000;3.7592;2.1835;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5360;
067;"Net-(U7-OUT)";7;0;0.0000;4.0279;0.0000;4.0279;4.0279;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
068;"DRAM_DQ15";2;2;0.5274;25.7040;0.0000;26.2314;2.0674;0.0000;23.6366;0.0000;0.0000;0.0000;0.0000;0.0000;
069;"DRAM_DQ12";2;2;0.5274;25.7366;0.0000;26.2640;0.9309;0.0000;24.8057;0.0000;0.0000;0.0000;0.0000;0.0000;
070;"DRAM_DQ14";2;2;0.5274;24.2160;0.0000;24.7434;2.6646;0.0000;21.5514;0.0000;0.0000;0.0000;0.0000;0.0000;
071;"DRAM_DQ11";2;2;0.5274;25.7440;0.0000;26.2714;0.9469;0.0000;24.7971;0.0000;0.0000;0.0000;0.0000;0.0000;
072;"Net-(U13-VDDI)";3;1;1.0397;2.7071;0.0000;3.7468;0.9923;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.7148;
073;"DRAM_DQ9";2;2;0.5274;25.7425;0.0000;26.2699;2.2626;0.0000;23.4799;0.0000;0.0000;0.0000;0.0000;0.0000;
074;"DRAM_DQ10";2;2;0.5274;25.7254;0.0000;26.2528;0.9407;0.0000;24.7847;0.0000;0.0000;0.0000;0.0000;0.0000;
075;"DRAM_DQ4";2;2;1.2010;24.2631;0.0000;25.4641;0.9589;0.0000;0.0000;0.0000;23.3042;0.0000;0.0000;0.0000;
076;"DRAM_DQ6";2;2;1.2010;24.2621;0.0000;25.4631;0.9680;0.0000;0.0000;0.0000;23.2941;0.0000;0.0000;0.0000;
077;"DRAM_DQ22";2;2;1.2010;25.0708;0.0000;26.2718;0.9732;0.0000;0.0000;0.0000;24.0977;0.0000;0.0000;0.0000;
078;"DRAM_DQ23";2;2;1.2010;24.5959;0.0000;25.7969;1.0361;0.0000;0.0000;0.0000;23.5598;0.0000;0.0000;0.0000;
079;"DRAM_DQS3_P";2;2;0.5274;25.7686;0.0000;26.2960;1.0354;0.0000;24.7332;0.0000;0.0000;0.0000;0.0000;0.0000;
080;"DRAM_DM3";2;2;0.5274;24.2114;0.0000;24.7388;1.0689;0.0000;23.1425;0.0000;0.0000;0.0000;0.0000;0.0000;
083;"DRAMREF";7;1;1.0397;67.3741;0.0000;68.4138;0.4596;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;66.9145;
086;"DRAM_DQ13";2;2;0.5274;25.7848;0.0000;26.3122;1.0196;0.0000;24.7652;0.0000;0.0000;0.0000;0.0000;0.0000;
087;"DRAM_DM1";2;2;0.5274;25.7472;0.0000;26.2746;1.6845;0.0000;24.0627;0.0000;0.0000;0.0000;0.0000;0.0000;
088;"DRAM_DQS1_P";2;2;0.5274;24.9718;0.0000;25.4992;0.9878;0.0000;23.9840;0.0000;0.0000;0.0000;0.0000;0.0000;
089;"DRAM_DQ8";2;2;0.5274;25.7223;0.0000;26.2497;2.3435;0.0000;23.3788;0.0000;0.0000;0.0000;0.0000;0.0000;
090;"DRAM_DQ7";2;2;1.2010;24.6362;0.0000;25.8372;0.9340;0.0000;0.0000;0.0000;23.7022;0.0000;0.0000;0.0000;
091;"DRAM_DQS2_N";2;2;1.2010;25.0070;0.0000;26.2080;1.4457;0.0000;0.0000;0.0000;23.5613;0.0000;0.0000;0.0000;
092;"DRAM_DQS2_P";2;2;1.2010;25.0102;0.0000;26.2112;1.9755;0.0000;0.0000;0.0000;23.0347;0.0000;0.0000;0.0000;
093;"DRAM_DQS3_N";2;2;0.5274;24.9496;0.0000;25.4770;1.0464;0.0000;23.9032;0.0000;0.0000;0.0000;0.0000;0.0000;
094;"Net-(U15-VDD1.8_1)";5;2;2.0794;8.3592;0.0000;10.4386;1.4570;0.0000;5.3690;0.0000;0.0000;0.0000;0.0000;1.5331;
095;"DRAM_nCS0_B";2;2;1.8746;22.5894;0.0000;24.4640;1.0666;0.0000;0.0000;0.0000;0.0000;0.0000;21.5228;0.0000;
097;"/POWER/MNRST";4;0;0.0000;6.8658;0.0000;6.8658;6.8658;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
098;"SYS_NRST_OUT";1;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;
099;"DRAM_CKE0_A";2;2;1.8746;24.3319;0.0000;26.2065;0.9307;0.0000;0.0000;0.0000;0.0000;0.0000;23.4012;0.0000;
100;"DRAM_DQS1_N";2;2;0.5274;25.1067;0.0000;25.6341;0.9627;0.0000;24.1440;0.0000;0.0000;0.0000;0.0000;0.0000;
101;"DRAM_DQS0_P";2;2;1.2010;25.0255;0.0000;26.2265;3.0079;0.0000;0.0000;0.0000;22.0176;0.0000;0.0000;0.0000;
102;"DRAM_DQS0_N";2;2;1.2010;24.1952;0.0000;25.3962;2.4425;0.0000;0.0000;0.0000;21.7527;0.0000;0.0000;0.0000;
